Country,Dimension,Factor,Indicator,Indicator_Name,Year,Nivel_de_madurez_texto_EN
Antigua and Barbuda,Policy and Strategy,Documented or Official National Cybersecurity Strategy,Strategy development,Documented or Official National Cybersecurity Strategy: Strategy development,2015,Startup
Argentina,Policy and Strategy,Documented or Official National Cybersecurity Strategy,Strategy development,Documented or Official National Cybersecurity Strategy: Strategy development,2015,Formative
Bahamas,Policy and Strategy,Documented or Official National Cybersecurity Strategy,Strategy development,Documented or Official National Cybersecurity Strategy: Strategy development,2015,Startup
Barbados,Policy and Strategy,Documented or Official National Cybersecurity Strategy,Strategy development,Documented or Official National Cybersecurity Strategy: Strategy development,2015,Startup
Belize,Policy and Strategy,Documented or Official National Cybersecurity Strategy,Strategy development,Documented or Official National Cybersecurity Strategy: Strategy development,2015,Startup
Bolivia,Policy and Strategy,Documented or Official National Cybersecurity Strategy,Strategy development,Documented or Official National Cybersecurity Strategy: Strategy development,2015,Startup
Brazil,Policy and Strategy,Documented or Official National Cybersecurity Strategy,Strategy development,Documented or Official National Cybersecurity Strategy: Strategy development,2015,Formative
Chile,Policy and Strategy,Documented or Official National Cybersecurity Strategy,Strategy development,Documented or Official National Cybersecurity Strategy: Strategy development,2015,Formative
Colombia,Policy and Strategy,Documented or Official National Cybersecurity Strategy,Strategy development,Documented or Official National Cybersecurity Strategy: Strategy development,2015,Established
Costa Rica,Policy and Strategy,Documented or Official National Cybersecurity Strategy,Strategy development,Documented or Official National Cybersecurity Strategy: Strategy development,2015,Formative
Dominica,Policy and Strategy,Documented or Official National Cybersecurity Strategy,Strategy development,Documented or Official National Cybersecurity Strategy: Strategy development,2015,Formative
Ecuador,Policy and Strategy,Documented or Official National Cybersecurity Strategy,Strategy development,Documented or Official National Cybersecurity Strategy: Strategy development,2015,Startup
El Salvador,Policy and Strategy,Documented or Official National Cybersecurity Strategy,Strategy development,Documented or Official National Cybersecurity Strategy: Strategy development,2015,Startup
Grenada,Policy and Strategy,Documented or Official National Cybersecurity Strategy,Strategy development,Documented or Official National Cybersecurity Strategy: Strategy development,2015,Startup
