Pais_EN,Pais_ES,Dimension_EN,Dimension_ES,Factor_EN,Factor_ES,Indicador_EN,Indicador_ES,Indicador_Nombre_EN,Indicador_Nombre_ES,Anio_Texto,Anio_Fecha_y_Hora,Nivel_de_madurez,Nivel_de_madurez_texto_EN,Nivel_de_madurez_texto_ES
Republic of Korea,República de Corea,Legal Frameworks,Marcos legales,Responsible Reporting,Divulgación responsible de la información,Responsible disclosure,Divulgación responsible de la información,Responsible Reporting: Responsible disclosure,Divulgación responsible de la información: Divulgación responsible de la información,2015,2015,2,Formative,Formativo
Republic of Korea,República de Corea,Technologies,Tecnologías,Critical National Infrastructure (CNI) Protection,Protección de la Infraestructura Crítica Nacional (ICN),Organization,Organización,Critical National Infrastructure (CNI) Protection: Organization,Protección de la Infraestructura Crítica Nacional (ICN): Organización,2015,2015,4,Stategic,Estratégico
Israel,Israel,Legal Frameworks,Marcos legales,Cybersecurity Legal Frameworks,Marcos jurídicos de seguridad cibernética,Substantive cybercrime law,Derecho sustantivo de delincuencia cibernética,Cybersecurity Legal Frameworks: Substantive cybercrime law,Marcos jurídicos de seguridad cibernética: Derecho sustantivo de delincuencia cibernética,2015,2015,3,Established,Establecido
United States,Estados Unidos,Technologies,Tecnologías,National Infrastructure Resilience,Resiliencia de la infraestructura nacional,Infrastructure technology,Infraestructura tecnológica,National Infrastructure Resilience: Infrastructure technology,Resiliencia de la infraestructura nacional: Infraestructura tecnológica,2015,2015,4,Stategic,Estratégico
Israel,Israel,Technologies,Tecnologías,National Infrastructure Resilience,Resiliencia de la infraestructura nacional,National resilience,Resiliencia nacional,National Infrastructure Resilience: National resilience,Resiliencia de la infraestructura nacional: Resiliencia nacional,2015,2015,4,Stategic,Estratégico
Republic of Korea,República de Corea,Technologies,Tecnologías,Digital Redundancy,Redundancia digital,Planning ,Planeación,Digital Redundancy: Planning ,Redundancia digital: Planeación,2015,2015,3,Established,Establecido
Israel,Israel,Technologies,Tecnologías,Digital Redundancy,Redundancia digital,Organization,Organización,Digital Redundancy: Organization,Redundancia digital: Organización,2015,2015,3,Established,Establecido
Republic of Korea,República de Corea,Education,Educación,National Development of Cybersecurity Education,Desarrollo nacional de la educación de seguridad cibernética,National development of cybersecurity education,Desarrollo nacional de la educación de seguridad cibernética,National Development of Cybersecurity Education: National development of cybersecurity education,Desarrollo nacional de la educación de seguridad cibernética: Desarrollo nacional de la educación de seguridad cibernética,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Technologies,Tecnologías,Adherence to Standards,Adhesión a las normas,Implementation of standards and minimal acceptable practices,Aplicación de las normas y prácticas mínimas aceptables,Adherence to Standards: Implementation of standards and minimal acceptable practices,Adhesión a las normas: Aplicación de las normas y prácticas mínimas aceptables,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Technologies,Tecnologías,Crisis Management,Gestión de crisis,Evaluation,Evaluación,Crisis Management: Evaluation,Gestión de crisis: Evaluación,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Culture and Society,Cultura y sociedad,Cybersecurity Mind-set,Mentalidad de seguridad cibernética,Private sector,En el sector privado,Cybersecurity Mind-set: Private sector,Mentalidad de seguridad cibernética: En el sector privado,2015,2015,4,Stategic,Estratégico
United States,Estados Unidos,Legal Frameworks,Marcos legales,Responsible Reporting,Divulgación responsible de la información,Responsible disclosure,Divulgación responsible de la información,Responsible Reporting: Responsible disclosure,Divulgación responsible de la información: Divulgación responsible de la información,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Policy and Strategy,Política y estrategia,Cyber Defense Consideration,Defensa cibernética,Coordination,Coordinación,Cyber Defense Consideration: Coordination,Defensa cibernética: Coordinación,2015,2015,4,Stategic,Estratégico
Israel,Israel,Technologies,Tecnologías,Critical National Infrastructure (CNI) Protection,Protección de la Infraestructura Crítica Nacional (ICN),Response planning,Planeación de respuesta,Critical National Infrastructure (CNI) Protection: Response planning,Protección de la Infraestructura Crítica Nacional (ICN): Planeación de respuesta,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Education,Educación,National Development of Cybersecurity Education,Desarrollo nacional de la educación de seguridad cibernética,National development of cybersecurity education,Desarrollo nacional de la educación de seguridad cibernética,National Development of Cybersecurity Education: National development of cybersecurity education,Desarrollo nacional de la educación de seguridad cibernética: Desarrollo nacional de la educación de seguridad cibernética,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Technologies,Tecnologías,Incident Response,Respuesta a incidentes,Identification and designation,Identificación y designación,Incident Response: Identification and designation,Respuesta a incidentes: Identificación y designación,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Technologies,Tecnologías,Incident Response,Respuesta a incidentes,Organization,Organización,Incident Response: Organization,Respuesta a incidentes: Organización,2015,2015,4,Stategic,Estratégico
Israel,Israel,Technologies,Tecnologías,Cybersecurity Coordinating Organizations,Organizaciones de coordinación de seguridad cibernética,Command and control center,Centro de mando y control,Cybersecurity Coordinating Organizations: Command and control center,Organizaciones de coordinación de seguridad cibernética: Centro de mando y control,2015,2015,5,Dynamic,Dinámico
United States,Estados Unidos,Legal Frameworks,Marcos legales,Legal Investigation,Investigación jurídica,Courts,Tribunales,Legal Investigation: Courts,Investigación jurídica: Tribunales,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Policy and Strategy,Política y estrategia,Cyber Defense Consideration,Defensa cibernética,Organization ,Organización,Cyber Defense Consideration: Organization ,Defensa cibernética: Organización,2015,2015,4,Stategic,Estratégico
United States,Estados Unidos,Policy and Strategy,Política y estrategia,Documented or Official National Cybersecurity Strategy,Estrategia nacional de seguridad cibernética oficial o documentada,Content,Contenido,Documented or Official National Cybersecurity Strategy: Content,Estrategia nacional de seguridad cibernética oficial o documentada: Contenido,2015,2015,5,Dynamic,Dinámico
Israel,Israel,Policy and Strategy,Política y estrategia,Cyber Defense Consideration,Defensa cibernética,Organization ,Organización,Cyber Defense Consideration: Organization ,Defensa cibernética: Organización,2015,2015,4,Stategic,Estratégico
Estonia,Estonia,Policy and Strategy,Política y estrategia,Documented or Official National Cybersecurity Strategy,Estrategia nacional de seguridad cibernética oficial o documentada,Organization ,Organización,Documented or Official National Cybersecurity Strategy: Organization ,Estrategia nacional de seguridad cibernética oficial o documentada: Organización,2015,2015,4,Stategic,Estratégico
